individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
MIDDLE,2022/07/05 22:54:19,Fiora,Belveth,Leblanc,Zeri,Yuumi,Taric,LeeSin,Yone,Aphelios,Lulu,1265,True,6,0,6,176,13111,9159,9483,8437,6528,13681,12622,14050,12654,6010,15843,23155,12993,13209,5103,False,True,2,12,22,1.077144607034743,3,0,100,20,13,1,2,0,1
MIDDLE,2022/07/05 21:16:02,Yone,Kindred,Swain,Aphelios,TahmKench,Gwen,Belveth,Irelia,Kalista,Thresh,1488,False,2,6,8,168,12063,12096,8695,8464,5461,23742,17732,15700,9245,5762,22162,21283,24820,12663,22941,False,False,3,8,16,0.652626573406569,0,0,100,19,34,1,1,0,0
MIDDLE,2022/07/05 20:43:09,Gnar,Taliyah,Belveth,Ezreal,Yuumi,Gragas,LeeSin,Ahri,Draven,Senna,1099,False,0,6,2,112,8251,8210,5256,5997,4138,8883,13390,3212,6628,5264,10285,15729,13625,9946,10100,False,False,1,6,12,0.6837548283572215,2,0,100,7,32,1,0,0,0
MIDDLE,2022/07/05 00:55:12,Jayce,Zed,Seraphine,Senna,TahmKench,Gangplank,Hecarim,Sylas,Zeri,Nautilus,1450,True,5,3,11,194,13137,13293,11799,8353,9560,28138,20493,21323,10320,12811,20788,18957,16020,8933,26328,False,False,5,9,28,1.1975567650519092,5,0,200,29,13,2,1,0,1
MIDDLE,2022/07/05 00:14:26,Volibear,Taliyah,Galio,Aphelios,Pyke,Gragas,Belveth,Lissandra,Twitch,Rakan,1953,False,5,6,12,237,11679,12820,12984,18704,9039,17968,23204,15079,28862,7222,36238,25288,23697,24579,17794,False,False,4,16,32,0.9964899767101564,6,0,100,27,34,1,1,0,0
MIDDLE,2022/07/04 23:40:26,Azir,Kayn,Camille,Kalista,Renata,Ashe,Kindred,Swain,Seraphine,Lulu,1645,False,1,7,5,202,9551,10940,9407,12491,6611,25401,24606,20241,25673,5134,23416,31290,33119,25589,14762,False,False,4,13,22,0.8167105372498702,2,0,200,19,31,0,0,0,0
MIDDLE,2022/07/04 23:13:23,Camille,LeeSin,Akali,Zeri,Lulu,Gnar,Belveth,Yuumi,Twitch,Zoe,1224,False,1,2,0,197,7849,7789,7532,7964,5364,9257,9077,4611,8550,6411,18193,20045,13227,13893,11778,False,False,3,7,10,0.5011316106059623,1,0,100,14,25,0,0,0,0
MIDDLE,2022/07/04 22:38:50,Gwen,Belveth,Galio,Ezreal,Taric,Gnar,MonkeyKing,Zoe,Kaisa,Nautilus,1621,True,4,0,4,216,10934,10461,11172,12614,7297,13000,11130,7572,27227,3480,27193,22306,14303,14218,12839,False,False,5,14,29,1.0820281891676882,5,0,100,18,12,1,2,0,1
MIDDLE,2022/07/04 20:53:55,Pyke,XinZhao,Corki,Zeri,Lulu,Azir,Graves,Sylas,Yasuo,Seraphine,1713,False,7,7,15,179,10813,14287,14243,9590,8396,12588,33535,38801,11745,5576,22354,46696,22234,26985,22003,False,False,6,14,20,0.7295827473600389,3,1,100,35,43,1,1,0,0
MIDDLE,2022/07/04 20:21:35,Jayce,Graves,Taric,Ezreal,Leona,Belveth,Kindred,Zoe,Ziggs,Pyke,1026,False,0,4,1,121,5826,6963,5134,7813,3595,11419,8145,3727,9240,1965,11563,12456,15390,10303,9487,False,False,1,3,6,0.4033921863192623,1,0,200,8,28,0,0,0,0
TOP,2022/07/04 19:52:48,Taric,Belveth,Sylas,Jinx,Braum,Jayce,Ekko,Yone,Ezreal,Nautilus,1132,True,4,1,13,92,7668,9535,9361,11522,6119,8369,13624,18303,19718,4231,16704,18784,20367,11387,8122,False,False,1,2,15,0.8127025362420709,1,0,200,30,5,2,2,0,0
TOP,2022/07/04 19:15:20,Gragas,LeeSin,Yone,Aphelios,Lulu,Darius,Taliyah,Zoe,Ezreal,Rakan,1489,True,10,3,7,202,13654,11449,12040,12103,8704,28056,15045,20122,14000,5221,20145,26012,25612,14371,7765,False,False,5,8,23,0.9316907502936443,2,0,200,32,13,1,2,0,1
MIDDLE,2022/07/04 18:42:06,Thresh,XinZhao,Corki,Ezreal,Karma,Akali,MonkeyKing,Zoe,Jhin,Rakan,1596,True,3,3,4,203,7326,9921,11248,14996,6472,9579,13803,19768,24443,5849,14851,24931,14165,10214,7565,False,False,4,14,40,1.5050851760185904,5,0,100,15,13,2,2,0,0
MIDDLE,2022/07/04 18:12:03,Yone,Diana,Rumble,Zeri,Nautilus,XinZhao,Taliyah,Belveth,Draven,Rakan,1467,True,4,2,6,228,12311,12929,11959,12426,6517,17372,25534,19543,19004,6253,15819,21552,16787,14255,12576,False,False,4,7,16,0.655461364070387,3,0,100,30,14,0,2,0,1
MIDDLE,2022/07/04 01:45:01,Graves,FiddleSticks,Akali,Yasuo,Ashe,Gangplank,Poppy,Azir,LeeSin,Renata,1746,False,7,2,7,231,7911,10519,12164,16212,8976,8477,22743,23711,19801,14980,17600,21231,28470,20095,15582,False,False,2,6,17,0.5978737530213646,4,0,100,27,18,0,2,0,0
MIDDLE,2022/07/04 01:10:55,Gnar,LeeSin,Sylas,Kalista,Seraphine,Gragas,Talon,Zoe,Twitch,Renata,1407,False,4,12,8,139,7504,8812,9256,8814,6754,12803,14526,16822,9504,8441,27198,29789,31120,22425,16678,False,False,4,8,16,0.6837036252991896,5,0,200,19,51,0,1,0,0
MIDDLE,2022/07/04 00:22:43,Gnar,Hecarim,Swain,Seraphine,Senna,Graves,Viego,Azir,Draven,Pyke,1729,True,5,3,8,226,15448,11510,12465,11818,8823,27618,12257,15085,20084,13697,31548,35488,22311,13457,22267,False,False,2,4,9,0.3304428017143967,4,0,100,25,32,1,0,0,0
MIDDLE,2022/07/03 23:53:59,DrMundo,Khazix,Sylas,Draven,Renata,Kayle,Kalista,Irelia,Poppy,Amumu,1353,True,7,4,12,164,8286,10302,10709,11695,6421,8453,15899,17131,17676,5831,17203,22532,23214,11087,9669,False,False,5,10,22,0.9991656265060468,2,0,100,25,12,1,2,0,0
MIDDLE,2022/07/03 23:23:03,Irelia,Diana,Yone,Kalista,Renata,Gragas,Viego,Yasuo,Ashe,Karma,1291,True,8,2,6,181,8594,10707,11081,12845,7792,14907,14357,16273,19389,7960,18806,18960,17750,17552,12971,False,False,3,6,14,0.689031275015543,1,0,200,30,15,2,2,0,1
MIDDLE,2022/07/03 22:42:35,Darius,Rammus,Seraphine,Jinx,TahmKench,Gragas,LeeSin,Corki,Aphelios,Renata,1843,False,8,5,9,228,12613,10245,12935,12601,8848,19030,9869,23895,27201,12693,36226,31809,21700,22467,28637,False,False,2,12,46,1.5019995299984057,5,0,100,30,32,0,1,0,0
TOP,2022/07/03 01:44:17,Gragas,Graves,Zoe,Draven,Renata,Gnar,Poppy,Katarina,Zeri,Yuumi,1415,False,0,4,1,175,7642,10324,9014,9872,5442,9622,12552,13713,11046,3753,17842,23879,15929,17489,13412,False,False,4,4,13,0.5691911640752813,3,0,100,8,25,1,1,0,0
MIDDLE,2022/07/03 01:03:40,DrMundo,MonkeyKing,Azir,Ezreal,Rakan,Gnar,LeeSin,Leblanc,Aphelios,Bard,961,True,1,3,1,133,8172,6927,5914,6530,5656,10414,10793,7614,6703,6418,14461,13401,10221,5599,7865,False,False,0,4,17,1.104052967039994,6,0,200,19,7,0,2,0,0
MIDDLE,2022/07/01 01:35:17,Olaf,XinZhao,Sylas,Zeri,Yuumi,Gragas,LeeSin,Ahri,Draven,Nautilus,1283,True,6,3,10,148,8425,12024,10304,11203,7474,8779,26908,15609,16663,9007,18856,36062,16285,16458,7174,False,True,4,7,17,0.826677747275191,1,0,100,32,22,2,1,0,1
MIDDLE,2022/07/01 00:59:25,Tryndamere,MonkeyKing,Corki,Kalista,Renata,Irelia,Taliyah,Yone,Zeri,Yuumi,1688,True,7,2,11,233,13276,13073,15469,18782,9834,19380,17479,30284,25470,8652,30829,32509,15197,26968,18056,False,True,6,14,33,1.1766869249356842,4,1,200,39,14,1,4,0,2
TOP,2022/06/30 21:26:34,Gragas,Nidalee,Yone,Jinx,Nautilus,Ornn,LeeSin,TwistedFate,Zeri,Rakan,1706,False,3,7,8,181,11812,11659,12983,11929,6493,24430,19931,22921,12222,5426,27828,30309,22879,18595,23630,False,False,6,15,30,1.0685086594585052,6,0,200,18,41,1,0,0,1
TOP,2022/06/30 00:54:51,Gwen,MonkeyKing,Ahri,Senna,TahmKench,Jayce,Kindred,Zed,Ziggs,Seraphine,1335,True,6,3,5,176,10515,10215,10667,9148,9168,9702,17254,11587,14040,11575,21002,21941,14320,15534,22750,False,False,3,7,22,1.0329994499822486,4,0,200,30,13,2,1,0,1
