individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
BOTTOM,2022/06/19 04:26:56,Sett,MasterYi,Belveth,Twitch,Alistar,Urgot,Trundle,Zed,Samira,Senna,1374,False,5,7,4,150,8673,8457,9028,9598,6469,11139,5511,12714,15860,5704,23077,17225,20417,16251,17347,False,False,2,6,10,0.4467855713956537,1,0,200,17,34,0,2,0,0
BOTTOM,2022/06/19 03:40:57,Ornn,Teemo,Sylas,Tristana,Veigar,Kayle,Zac,Singed,Jhin,Lux,1996,False,11,9,9,181,13711,14704,10961,15605,9774,20886,29111,17906,27479,17318,27766,29816,40885,29620,27437,False,False,2,9,21,0.6436578968307687,1,0,200,37,42,1,3,0,1
BOTTOM,2022/06/19 02:55:21,Darius,Vi,Leblanc,Tristana,Karma,Garen,Sett,Lux,Varus,Xerath,2188,True,15,5,4,244,16493,14467,15628,19687,9913,21847,21943,36088,31523,9058,30385,37358,24224,26437,22970,False,False,3,11,27,0.7473954158541055,11,1,200,39,24,0,5,1,2
BOTTOM,2022/06/19 02:13:06,Illaoi,Viego,Akali,Tristana,Seraphine,Irelia,Belveth,Zed,Ezreal,Cassiopeia,1784,True,19,3,6,240,12103,12191,11166,20979,10160,18496,25550,21135,36142,10726,28669,37436,27158,26916,22514,False,True,2,10,26,0.9055246350064243,3,0,200,42,37,0,3,0,1
BOTTOM,2022/06/18 00:53:39,Fiora,Taliyah,Garen,Twitch,Yuumi,Jax,Belveth,Fizz,Zeri,Nami,1213,True,6,1,3,142,10061,8776,7487,8432,5438,16397,11774,8422,11523,6638,13262,13866,11508,9127,1090,False,False,2,8,13,0.6904345838700289,1,0,100,21,9,2,2,0,0
BOTTOM,2022/06/18 00:10:42,Garen,RekSai,Irelia,Tristana,Senna,Camille,Lillia,Vex,Lucian,MissFortune,2021,True,9,3,12,193,14567,15966,12883,15880,11194,21375,20728,23588,22411,15678,39791,32885,32167,23135,16778,False,False,5,14,26,0.7885684237576712,9,1,100,38,25,1,5,1,2
BOTTOM,2022/06/16 03:53:08,Garen,Zac,Irelia,Vayne,Rakan,Yuumi,MonkeyKing,Yasuo,Xerath,Kayle,1848,False,3,13,4,139,11930,12242,15504,9895,7040,21256,32019,18653,14476,6109,33548,47227,35450,31104,22231,False,False,2,8,21,0.6937051452089913,4,0,100,22,52,0,0,0,0
BOTTOM,2022/06/16 03:22:47,Garen,Teemo,Lucian,Twitch,Seraphine,Darius,Graves,Ahri,Zeri,Velkoz,1339,False,2,7,3,108,9444,8018,10142,7325,6191,12658,16360,9549,7947,7180,16415,16699,12612,17708,9037,False,False,0,5,8,0.39116452012408054,1,0,100,21,19,2,0,0,0
BOTTOM,2022/06/16 00:45:15,Urgot,Rammus,Brand,Twitch,Morgana,MasterYi,Viego,Syndra,Zeri,Maokai,1290,False,5,5,3,125,9187,6166,5843,7186,6924,16898,530,7994,11603,6325,23612,13535,10414,14624,12368,False,False,1,7,7,0.33841580665737103,2,0,100,15,21,0,0,0,0
BOTTOM,2022/06/16 00:07:54,Malphite,Gragas,Ahri,Tristana,Heimerdinger,Teemo,Belveth,Veigar,Ezreal,Morgana,1901,False,6,8,3,169,10210,12282,12808,11352,8329,17003,20219,22315,12748,8313,34348,31903,26281,20145,15514,False,False,3,11,22,0.7066503774446394,3,0,200,29,21,1,2,0,0
BOTTOM,2022/06/15 23:31:36,Maokai,Zac,Viego,Tristana,Lulu,Darius,Pantheon,Azir,Jinx,Alistar,1806,False,9,8,13,170,9640,13913,12901,13172,8142,17763,25744,19476,23853,8801,31921,44832,33648,24545,19982,False,False,1,10,23,0.775916555172285,4,0,200,34,39,0,3,0,1
BOTTOM,2022/06/15 22:56:13,Swain,Yone,Kayn,Tristana,Nautilus,Illaoi,MasterYi,Lillia,Kaisa,Nami,1460,True,15,1,7,149,12034,15080,10474,14359,8520,20058,43025,5186,21639,6107,17616,27786,19050,11671,12320,False,False,2,7,23,0.969335356049606,6,0,100,47,15,1,2,0,1
BOTTOM,2022/06/15 22:22:57,Yone,Viego,Yasuo,Samira,Lulu,Sett,Ekko,Zed,Ashe,Xerath,1543,False,4,5,3,102,10262,9480,13062,7674,6292,18830,16917,16820,8034,3828,22812,32815,24020,18827,16333,False,False,3,8,20,0.8074578317650993,5,0,200,23,33,1,1,0,0
BOTTOM,2022/06/13 01:23:50,Trundle,LeeSin,Sylas,Samira,Leona,Teemo,Zac,Talon,Sivir,MissFortune,1070,True,4,1,2,135,6945,7067,9056,7454,5739,5529,9261,17870,6769,3903,10408,14158,15909,7514,6546,False,False,1,5,8,0.4826225361198758,2,1,100,24,8,0,2,0,0
BOTTOM,2022/06/13 00:38:54,Maokai,Lillia,Vex,Vayne,Lulu,Shen,Belveth,Syndra,Caitlyn,Brand,2282,False,12,8,14,181,14294,17356,15408,17989,11439,26433,30593,25759,38090,9959,64455,43913,26283,37182,22529,False,False,2,13,39,1.0336428325609335,6,0,100,44,37,0,0,0,2
